Headline,URL
British tech tycoon cleared in US fraud trialFormer Autonomy boss Mike Lynch was accused of fraud related to the $11bn sale of his firm to HP.18 hrs agoBusiness,/news/articles/cneel8ed2vvo
British tech tycoon cleared in US fraud trial,
Eurozone cuts interest rate for first time in 5 yearsThe eurozone is the second major economy to cut its main lending rate this week after Canada.2 days agoBusiness,/news/articles/c511jy6z41vo
Eurozone cuts interest rate for first time in 5 years,
"Plans to use Facebook and Instagram posts to train AI criticisedPublic posts, images and image captions will also be used to develop parent company Meta's AI tools.2 days agoTechnology",/news/articles/cw99n3qjeyjo
Plans to use Facebook and Instagram posts to train AI criticised,
The political row over unspent EU millionsIs it true that £450m of European money allocated to Scotland will have to be handed back? 21 hrs agoScotland Politics,/news/articles/ce55zm8z402o
The political row over unspent EU millions,
"Russia's economy is growing, but can it last?Russia’s economy has been cut off from the global financial system - but it is still growing. Why?2 days agoBBC InDepth",/news/articles/c4nn7pej9jyo
"Russia's economy is growing, but can it last?",
"Why Canadians are angry with their biggest supermarketFood prices, including a $40 chicken, has stoked fury and calls for big foreign supermarket chains to come to Canada.2 days agoUS & Canada",/news/articles/cd11ywyg6p0o
Why Canadians are angry with their biggest supermarket,
Watch,
Key moments from former Post Office chief's three-day testimonyPaula Vennells faced three days of questions about her role in the wrongful prosecution of hundreds of sub-postmasters.24 May 2024Business,/news/articles/cm55v9v2m7xo
Key moments from former Post Office chief's three-day testimony,
Ex-Post Office boss cries while giving evidenceEx-Post Office boss Paula Vennells is speaking about the incident for the first time in ten years.22 May 2024Business,/news/business-69047667
Ex-Post Office boss cries while giving evidence,
"Whistleblower claims Boeing supplier sent faulty partsSpirit AeroSystems supplied Boeing with faulty parts, a former quality inspector has told the BBC.8 May 2024Business",/news/business-68980492
Whistleblower claims Boeing supplier sent faulty parts,
Tatti Lashes: The school friends who built a beauty empireCharlotte Tiplady and Elliot Barton explain how together they built up their Tatti Lashes beauty empire from Liverpool.30 Apr 2024Business,/news/business-68903985
Tatti Lashes: The school friends who built a beauty empire,
Watch Ocado robots in actionOcado has added robotic arms to its newest warehouse near Luton.23 Apr 2024Business,/news/business-68682920
Watch Ocado robots in action,
BBC World News business headlinesThe latest international business headlines from BBC World News.20 Mar 2024Business,/news/business-11876811
BBC World News business headlines,
"'I feel survivor's guilt' says Post Office victimFormer sub-postmaster Jo Hamilton told BBC Breakfast she feels ""guilt"" after settling with the government over the Horizon IT scandal.5 Mar 2024Business",/news/business-68478942
'I feel survivor's guilt' says Post Office victim,
Watch: 'My biggest financial regret is...'People in Kent share their finance stories ahead of Wednesday's Budget. Would you share yours?5 Mar 2024Business,/news/business-68473711
Watch: 'My biggest financial regret is...',
"Issa brother to step back after 'fixing' AsdaMohsin Issa, one half of the so-called ""billionaire brothers"" who own Asda, says he plans to hand over the running of the UK's third biggest supermarket.1 Mar 2024Business",/news/business-68443077
Issa brother to step back after 'fixing' Asda,
'We had to adapt our robots to the AI revolution'Sandy Enoch of Robotical explains why he had to pivot his educational robot company due to AI.21 Feb 2024Business,/news/business-68348353
'We had to adapt our robots to the AI revolution',
"'AI won't steal your job, but people using it may'Hovhannes Avoyan, founder of picture and video editing app Picsart, shares his advice for our CEO Secrets series.14 Feb 2024Business",/news/business-68283847
"'AI won't steal your job, but people using it may'",
"'They thought it was a sex shop' - The Body Shop in the '80sArchive footage shows Dame Anita Roddick talking about her company's success, in an 1984 interview.13 Feb 2024Business",/news/business-68282606
'They thought it was a sex shop' - The Body Shop in the '80s,
CCTV shows violent raid on Co-op storeThe retailer gave the footage to the BBC as it warned of a rise in attacks on retail staff.8 Feb 2024Business,/news/business-68240714
CCTV shows violent raid on Co-op store,
"Not that difficult to buy a home, says NatWest chairSir Howard Davies says he believes it is not currently ""that difficult"" for people to get on the housing ladder.5 Jan 2024Business",/news/business-67892329
"Not that difficult to buy a home, says NatWest chair",
"'A viral Facebook post nearly blew up our business'Joanna Jensen, founder of skincare brand Childs Farm, shares advice for start-ups for our CEO Secrets series.13 Dec 2023Business",/news/business-67692431
'A viral Facebook post nearly blew up our business',
"Broadband rises must be 'clearer', says Ofcom bossThe regulator has plans to make mobile and broadband firms more upfront about mid-contract price rises.12 Dec 2023Business",/news/business-67692155
"Broadband rises must be 'clearer', says Ofcom boss",
"'This earring helped me build my £4bn business'Richard Harpin, co-founder of Homeserve, explains how an earring taught him an early business lesson.6 Dec 2023Business",/news/business-67625234
'This earring helped me build my £4bn business',
'Taking control of my abuse story'Olivia DeRamus set up an app in the wake of her sexual assault. Now she's ready to take on Big Tech.1 Dec 2023Business,/news/business-67571716
'Taking control of my abuse story',
Take off for ground-breaking green fuel flightIt is the first transatlantic flight powered solely by alternative fuels.28 Nov 2023Business,/news/business-67552412
Take off for ground-breaking green fuel flight,
The enzyme that chews up plasticCould this be the solution for recycling more plastic?28 Nov 2023Business,/news/business-67552819
The enzyme that chews up plastic,
More in Business,
"5 hrs agoTories pledge to 'back drivers' with new lawThe plans would include ""unilaterally reversing"" the expansion of the Ulez clean air scheme in London.5 hrs agoBusiness",/news/articles/crgg2629xplo
Tories pledge to 'back drivers' with new law,
"5 hrs agoLabour vows to 'pull up shutters' for small businessLabour leader Sir Keir Starmer suggested that ""hard-working small businesses have been held back"".5 hrs agoBusiness",/news/articles/c3ggvy1rn6qo
Labour vows to 'pull up shutters' for small business,
7 hrs ago100ml liquid rule reintroduced at some regional airportsAll of the airports which are affected have upgraded to new high-tech CT scanners.7 hrs agoBusiness,/news/articles/clmm97x3yvmo
100ml liquid rule reintroduced at some regional airports,
"10 hrs agoBody Shop sets deadline to save UK stores and jobsBidders have until next week to make an offer and save the remaining 1,500 UK jobs at the retailer. 10 hrs agoBusiness",/news/articles/c3ggnye1gpxo
Body Shop sets deadline to save UK stores and jobs,
13 hrs agoCo-op to make 770 community helpers redundantThe mutual denies the cuts go against its values of serving and protecting local communities. 13 hrs agoBusiness,/news/articles/cyxxk9vpxnro
Co-op to make 770 community helpers redundant,
14 hrs agoNorth Sea workers raise Super Puma helicopter safety fearsThree quarters of respondents to a Unite union survey said they would never travel in a Super Puma helicopter.14 hrs agoScotland Business,/news/articles/cjqqkn54p7go
North Sea workers raise Super Puma helicopter safety fears,
"19 hrs agoLabour pitch mortgage guarantee for first-time buyersSir Keir Starmer says he hopes his pledge will ""turn the dream of owning a home into a reality"".19 hrs agoBusiness",/news/articles/crgg2jyz4ywo
Labour pitch mortgage guarantee for first-time buyers,
20 hrs agoWhat to do if you are in debt and need helpWhat help and options are available to people struggling with debt repayments?20 hrs agoBusiness,/news/business-64291327
What to do if you are in debt and need help,
"1 day agoRents rise at 6.6% a year but pace is slowingThe rate of increase is the slowest for 30 months, but competition among potential tenants is still fierce.1 day agoBusiness",/news/articles/c9rrx74vy5xo
Rents rise at 6.6% a year but pace is slowing,
British Broadcasting Corporation,/
Home,https://www.bbc.com/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
